years,renewable,total
2011,803473000000.0,4715716000000.0
2010,792512000000.0,4208128000000.0
2009,663733000000.0,3742043000000.0
2008,615013000000.0,3481993000000.0
2007,500955000000.0,3287504000000.0
2006,446885000000.0,2869825000000.0
2005,404455000000.0,2502498000000.0
2004,357366000000.0,2204718000000.0
2003,287206000000.0,1911678000000.0
2002,291325000000.0,1654921000000.0
2001,280650000000.0,1481582000000.0
2000,225472000000.0,1356237000000.0
1999,206722000000.0,1239811000000.0
1998,210748000000.0,1167384000000.0
1997,198806000000.0,1135772000000.0
1996,189490000000.0,1080124000000.0
1995,193545000000.0,1007797000000.0
1994,167788000000.0,928128000000.0
1993,151845000000.0,838282000000.0
1992,132487000000.0,753957000000.0
1991,125101000000.0,677561000000.0
1990,126724000000.0,621204000000.0
1989,118390000000.0,584810000000.0
1988,109150000000.0,545210000000.0
1987,100010000000.0,497270000000.0
1986,94530000000.0,449530000000.0
1985,92370000000.0,410690000000.0
1984,86780000000.0,377390000000.0
1983,86360000000.0,351440000000.0
1982,74400000000.0,327680000000.0
1981,65550000000.0,309270000000.0
1980,58210000000.0,300630000000.0
1979,50100000000.0,281950000000.0
1978,44600000000.0,256552000000.0
1977,47600000000.0,223404000000.0
1976,45600000000.0,203130000000.0
1975,45000000000.0,195840000000.0
1974,43000000000.0,168800000000.0
1973,38000000000.0,166800000000.0
1972,34000000000.0,152400000000.0
1971,30000000000.0,138400000000.0
