country,valueGDP,valueRenewable_kWh,Electricity_kWh
Australia,1386889147177.31,25520000000.0,252572000000.0
Austria,415984217114.769,40815000000.0,62160000000.0
Azerbaijan,65951627200.2026,2676000000.0,20294000000.0
Bangladesh,111905616039.486,872000000.0,44061000000.0
Belarus,59734593904.6402,150000000.0,32192000000.0
Belgium,513317999899.711,8377000000.0,89008000000.0
Benin,7294900430.89438,1000000.0,154000000.0
Bolivia,23948541156.1194,2593000000.0,7222000000.0
Bosnia and Herzegovina,18252896438.9793,4387000000.0,15280000000.0
Brazil,2476694763271.16,463273000000.0,531758000000.0
Brunei Darussalam,16691360399.1059,2000000.0,3725000000.0
Bulgaria,53542780661.2158,3935000000.0,50023000000.0
Cambodia,12829541141.0175,68000000.0,1053000000.0
Cameroon,25486923058.8757,4459000000.0,5996000000.0
Canada,1778632046932.59,396876000000.0,636878000000.0
Chile,251162316597.843,26020000000.0,65713000000.0
China,7321891954612.71,803473000000.0,4715716000000.0
Colombia,335415156702.186,50918000000.0,61822000000.0
"Congo, Dem. Rep.",23831631365.2865,7847000000.0,7882000000.0
"Congo, Rep.",14425606793.3022,791000000.0,1293000000.0
Costa Rica,41237296806.8532,8970000000.0,9833000000.0
Cote d'Ivoire,24074553674.3437,1838000000.0,6099000000.0
Croatia,61520901516.3152,4747000000.0,10702000000.0
Cuba,68233900000.0,567000000.0,17755000000.0
Cyprus,24851264943.0081,178000000.0,4929000000.0
Czech Republic,216061200559.451,7247000000.0,86753000000.0
Denmark,333743578564.372,14164000000.0,35171000000.0
Dominican Republic,55433248935.4356,1558000000.0,12975000000.0
Ecuador,76769729000.0,11699000000.0,20266000000.0
"Egypt, Arab Rep.",236000735704.439,14892000000.0,156586000000.0
El Salvador,23139000000.0,3828000000.0,5805000000.0
Eritrea,2607739837.39837,2000000.0,337000000.0
Estonia,22542967739.0121,1179000000.0,12893000000.0
Ethiopia,31367606699.7519,5128000000.0,5161000000.0
Finland,262379400237.966,24150000000.0,73481000000.0
France,2782210861682.84,64789000000.0,556886000000.0
Gabon,18796191833.0851,818000000.0,1769000000.0
Georgia,14434619972.4072,7890000000.0,10194000000.0
Germany,3628110015052.5,123114000000.0,602419000000.0
Ghana,39564970069.7821,7561000000.0,11200000000.0
Greece,289886951188.239,8143000000.0,59172000000.0
Guatemala,47654789734.6315,5450000000.0,8146000000.0
Haiti,7516834160.25277,151000000.0,718000000.0
Honduras,17710325578.4449,3099000000.0,7126000000.0
"Hong Kong SAR, China",248514003083.248,2000000.0,39030000000.0
Hungary,137452115092.885,2708000000.0,35983000000.0
Iceland,14042801904.2734,17209000000.0,17211000000.0
India,1880100141185.47,183333000000.0,1052330000000.0
Indonesia,845931645338.696,21989000000.0,182384000000.0
"Iran, Islamic Rep.",528426099488.522,12277000000.0,239705000000.0
Iraq,191176927521.368,4140000000.0,54240000000.0
Ireland,226035376257.007,5425000000.0,27655000000.0
Israel,258216783342.65,267000000.0,59645000000.0
Italy,2196336800619.84,82962000000.0,300647000000.0
Jamaica,14433926128.591,421000000.0,5141000000.0
Japan,5905630870455.11,127415000000.0,1042739000000.0
Jordan,28840197018.7628,66000000.0,14647000000.0
Kazakhstan,188048960311.225,7883000000.0,86586000000.0
Kenya,34313315839.8866,5280000000.0,7849000000.0
"Korea, Rep.",1202463655509.6,7479000000.0,520053000000.0
Kosovo,6630214451.68158,105000000.0,5801000000.0
Kyrgyz Republic,6197766118.59856,14139000000.0,15158000000.0
Latvia,28480338367.6157,3077000000.0,6094000000.0
Lebanon,40078938640.1327,805000000.0,16365000000.0
Lithuania,43083067994.0349,1113000000.0,4246000000.0
Luxembourg,58009863402.8645,242000000.0,2645000000.0
"Macedonia, FYR",10395222333.7584,1434000000.0,6876000000.0
Malaysia,289258937258.632,8968000000.0,130090000000.0
Malta,9302057269.94718,11000000.0,2194000000.0
Mexico,1170085556895.86,46964000000.0,295837000000.0
Moldova,7016162818.43742,352000000.0,5786000000.0
Montenegro,4501753897.55011,1204000000.0,2656000000.0
Morocco,99211339029.2806,2564000000.0,24872000000.0
Mozambique,12547888399.9208,16810000000.0,16830000000.0
Namibia,12451760766.4613,1404000000.0,1430000000.0
Nepal,18850351852.8989,3309000000.0,3312000000.0
Netherlands,832755438977.414,12318000000.0,112968000000.0
New Zealand,163841041662.097,33752000000.0,44496000000.0
Nicaragua,9898547557.7833,1301000000.0,3825000000.0
Nigeria,411743801711.642,5650000000.0,27034000000.0
Norway,490806911071.277,122478000000.0,126886000000.0
Pakistan,213685918598.93,28517000000.0,95258000000.0
Panama,33270500000.0,4121000000.0,7857000000.0
Paraguay,25071193102.1055,57625000000.0,57626000000.0
Peru,170563949735.564,22307000000.0,39223000000.0
Philippines,224095219329.238,19823000000.0,69176000000.0
Poland,515771297421.358,13138000000.0,163118000000.0
Portugal,237888302255.978,24111000000.0,51884000000.0
Romania,182610666615.642,16315000000.0,61999000000.0
Russian Federation,1904793021649.09,166406000000.0,1053001000000.0
Senegal,14440676497.9993,313000000.0,3014000000.0
Serbia,43749934551.4044,8667000000.0,38024000000.0
Singapore,274065043105.538,1053000000.0,45999000000.0
Slovak Republic,95877536836.2524,4999000000.0,28288000000.0
Slovenia,50250147802.3353,3878000000.0,15913000000.0
South Africa,403894316554.738,2465000000.0,259576000000.0
Spain,1454534452553.67,86224000000.0,289045000000.0
Sri Lanka,59178013927.8285,4762000000.0,11646000000.0
Sudan,67320812662.6348,6466000000.0,8600000000.0
Sweden,536000581090.037,84059000000.0,150254000000.0
Switzerland,658867317929.335,33998000000.0,62897000000.0
Tajikistan,6522732202.50748,16027000000.0,16219000000.0
Tanzania,23874165047.2772,2615000000.0,5302000000.0
Thailand,345672232115.625,12549000000.0,155986000000.0
Togo,3756023047.79099,105000000.0,139000000.0
Tunisia,45951129421.7929,163000000.0,16130000000.0
Turkey,774754155293.922,58098000000.0,229393000000.0
Ukraine,163421733018.726,11199000000.0,194947000000.0
United Kingdom,2462484285580.42,34408000000.0,364896000000.0
United States,15533800000000.0,528952000000.0,4326625000000.0
